Inventory_ID,Month_Name,Month_Number,Quarter,Year,Calendar_YearMonth,Distributor_Code,Distributor_Name,City,Zone,Tier,Owner_Name,GST_Number,Credit_Limit,Years_Active,SKU_Code,SKU_Name,Sub_Category,Category,SBU,MRP,Cost_Price,Distributor_Price,Opening_Stock,Received_Qty,Sold_Qty,Damage_Qty,Expiry_Qty,Closing_Stock,Reorder_Level,Stock_Status,Inventory_Value,Damage_Value,Expiry_Value,Turnover_Ratio,Days_Of_Stock
INV000001,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,283.4,345.8,113.5,2.2,0.8,515.7,105.5,Adequate,3352.05,14.3,5.2,0.28,136.3
INV000002,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FLMSTK-WX40,WAX PREMIUM 40S,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,12,7.8,10.44,309.9,282.0,398.5,6.8,2.6,193.4,67.7,Adequate,1508.52,53.04,20.28,1.58,14.6
INV000003,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FLMSTK-SF01,SAFETY PACK,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,9,5.85,7.83,359.8,505.9,565.0,9.3,2.9,300.7,145.0,Adequate,1759.09,54.41,16.96,1.71,16.0
INV000004,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,ZESTO-SPORT-M,SPORT BLAST MEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,243.5,516.8,363.6,2.7,1.1,396.7,83.7,Adequate,64463.75,438.75,178.75,1.14,32.7
INV000005,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,ZESTO-SPORT-W,SPORT FRESH WOMEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,215.9,513.1,178.5,1.4,1.6,550.5,76.2,Adequate,89456.25,227.5,260.0,0.47,92.5
INV000006,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,504.3,392.7,752.5,16.4,7.5,144.5,100.2,Adequate,29116.75,3304.6,1511.25,2.32,5.8
INV000007,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,ZESTO-PKT-M,POCKET SPRAY MEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,377.2,603.7,581.2,9.7,1.5,399.7,82.0,Adequate,22083.42,535.92,82.88,1.5,20.6
INV000008,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,ZESTO-PKT-W,POCKET SPRAY WOMEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,590.9,279.8,110.1,2.6,0.5,760.6,79.4,Adequate,42023.15,143.65,27.62,0.16,207.2
INV000009,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,PURIS-GLOW75,GLOW BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,60,39.0,52.2,421.9,596.3,619.7,5.3,5.1,398.5,138.3,Adequate,15541.5,206.7,198.9,1.51,19.3
INV000010,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,PURIS-FRESH75,FRESH BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,54,35.1,47.0,112.0,632.1,222.8,1.9,1.2,521.3,125.2,Adequate,18297.63,66.69,42.12,0.7,70.2
